year,country,artist,song,all_languages,main_language,lyrics_original,lyrics_english,bpm,tone,dancers,stage_director,place,points,running_order,top_3_words
1956,Switzerland,Lys Assia,Refrain,French,French,"(Refrain d'amour…)  Refrain, couleur du ciel, parfum de mes vingt ans Jardin plein de soleil où je courais enfant Partout je t'ai cherché, mon amoureux lointain Guettant par les sentiers où tu prenais ma main  Les jours s'en sont allés et nous avons grandi L'amour nous a blessés, le temps nous a gué...","(Refrain of love…)  Refrain, colour of the sky, the scent of my twenties Garden full of sun where I spent my childhood Everywhere I've been looking for you, my distant love Waiting along the path where you took my hand  The days passed away and we grew up Love wounded us, time cured us But lonesome ...",105,C major,,,1,,9,"refrain, love, love…"
1956,Netherlands,Jetty Paerl,De vogels van Holland,Dutch,Dutch,"De vogels van Holland zijn zo muzikaal Ze leren in hun prille jeugd al tierelieren De merel, de lijster en de nachtegaal Om zo de lent' in Holland goed te kunnen vieren  't Is geen wonder, want nergens zijn de plassen zo blauw Als in Holland, mijnheer Als in Holland, mevrouw 't Is geen wonder, want ...","The birds of Holland are so musical They already learn to twitter in their early youth The blackbird, the thrush and the nightingale So they can celebrate spring in Holland  It's no wonder, because nowhere the puddles are so blue As in Holland, sir As in Holland, madam It's no wonder, because nowher...",139,C major,,,2,,1,"holland, wonder, birds"
1956,Switzerland,Lys Assia,Das alte Karussell,German,German,Das alte Karussell Das geht nicht mehr so schnell Die Pferdchen und die Wagen Die woll'n nicht von der Stell'  Da hilft auch kein flattiern Und auch kein neu Lattiern Da hilft nur noch das Eine: Man muss es einmal schmiern  Und auch das alte Orgelspiel Das piepst wie eine Maus Von Zeit zu Zeit wird'...,The old carousel It doesn't go as fast anymore The ponies and the wagons They don't want to get going  Flattering doesn't help either And neither does putting up new boards There is only one thing that does help: Once in a while it has to be greased  And also the old organ It squeaks like a mouse An...,,,,,2,,2,"old, doesnt, help"
1956,Belgium,Fud Leclerc,Messieurs les noyés de la Seine,French,French,Messieurs les noyés de la Seine Ouvrez-moi les portes de l'eau Je suis fatigué d'user mes semaines Sur le pavé noir de Puteaux  Messieurs les noyés de la Seine Ouvrez-moi les portes de l'eau J'ai tant voyagé sous son ciel de laine Que le vent m'a brûlé la peau  Je suis depuis toujours marié à la mis...,The drowned men of the river Seine Open the water gates for me I'm tired of spending my weeks On the black paving of Puteaux  The drowned men of the river Seine Open the water gates for me I've been travelling so long under its woollen sky So the wind has burnt my skin  I'm married to misery forever...,122,G minor,,,2,,3,"drowned, men, river"
1956,Germany,Walter Andreas Schwarz,Im Wartesaal zum großen Glück,German,German,"Es gibt einen Hafen, da fährt kaum ein Schiff Und wenn eines fährt, so in unbestimmte Fernen Und es kommt, wenn es ankommt, von sehr weit schon her Und einer steigt aus und der kommt übers Meer Mit gläserner Fracht von den Sternen  Und man baute am Kai der Vergangenheit Einen Saal mit Blick auf das ...","There is a harbour where hardly a ship sails And when one does, it sails to the undetermined distance And it comes, when it arrives, from very far away And someone gets out and comes across the sea With a cargo from the stars made of glass  And they built on the quay of the past A room with a seavie...",136,C minor,,,2,,4,"sails, comes, harbour"
1956,France,Mathé Altéry,Le Temps perdu,French,French,"Chante, carillon Le chant du temps perdu Chante ta chanson à mon cœur éperdu Moi, je pleure celui que j'aime  Berce dans le soir Mon rêve et mes sanglots Verse en moi l'espoir de le revoir bientôt Hâte-toi, car j'attends toujours  Vienne le temps du bonheur Le temps d'amour qui seul peut calmer mon ...","Sing, carillon The song of lost time Sing your song to my fiery heart I cry for the one I love  Lull in the evening My dream and my sobs Pour in me the hope to meet him soon Hurry up, because I'm still waiting  May come the time of happiness The time of love, which only can calm down my heart  Diver...",133,Eb major,,,2,,5,"time, sing, song"
1956,Luxembourg,Michèle Arnaud,Ne crois pas,French,French,"Si on te dit que tu plais aux belles Y a pas de quoi t'en vanter Et au lieu de te moquer d'elles  Tu f'rais mieux d'en profiter  Ne crois pas que tout' ta vie  On t'aimera pour tes beaux yeux  Car si tous leur fait envie  C'est qu't'es jeune et rien de mieux  Ne crois pas, ne crois pas Que tu s'ras ...",If they told you that you have a good look There is nothing to boast about And instead of playing the good look You should take advantage of it  Don't believe that all your life You will be loved for your nice eyes Because if your face makes other envious It's because you're young and nothing better...,137,Bb major,,,2,,6,"good, look, nothing"
1956,Italy,Franca Raimondi,Aprite le finestre,Italian,Italian,"La prima rosa rossa è già sbocciata E nascon timide le viole mammole Ormai, la prima rondine è tornata: Nel cielo limpido comincia a volteggiar Il tempo bello viene ad annunciar  Aprite le finestre al nuovo sole È primavera, è primavera Lasciate entrare un poco d'aria pura Con il profumo dei giardin...","The first red rose has already blossomed And sweet-smelling violets shyly come up The first swallow is back by now It's starting to whirl in the clear sky It comes to announce nice weather  Open your windows to the newly born sun It's spring, it's spring Let a little fresh air in With the smell of g...",143,D major,,,2,,7,"first, spring, red"
1956,Netherlands,Corry Brokken,Voorgoed voorbij,Dutch,Dutch,"Voorgoed voorbij Nu zijn we nooit meer samen M'n lieveling Wat heb ik jou gedaan?  Voorgoed voorbij Gesloten zijn je ramen Maar net als toen Zie ik viooltjes staan  De hele wereld geurt De lentebloesem kleurt Ach, waarom is er ieder jaar een nieuwe mei? Dat is voor mij voorgoed voorbij De lente van ...","Over for good Now we'll never be together again My darling What have I done to you?  Over for good Your windows are closed But just like then I still see violets  The whole world smells good The spring-flower is colouring Ah, why is there every year a new May? For me, it's over forever The spring of...",128,Bb major,,,2,,8,"good, now, well"
1956,Belgium,Mony Marc,Le Plus Beau Jour de ma vie,French,French,"Les cloches sonnent Tout carillonne Le plus beau jour de ma vie Aujourd'hui je me marie Ding dong, ding dong  Si maman pleure C'est bientôt l'heure Et papa m'offre le bras Nous partons à petits pas Ding dong, ding dong  Les tout petits enfants me suivent gravement Portant ma robe sous mon voile blan...","The bells are ringing They're all chiming The most beautiful day of my life Today I'm getting married Ding dong, ding dong  If mother cries The time has come And father offers his arm We leave with little steps Ding dong, ding dong  The little children follow me gravely Carrying my dress under my wh...",107,Eb major,,,2,,10,"ding, dong, little"
1956,Germany,Freddy Quinn,So geht das jede Nacht,German,German,"Am Sonntag mit Jimmy, am Montag mit Jack Am Dienstag, da gehst du mit Johnny weg  So geht das jede Nacht (So geht das jede Nacht) So geht das jede Nacht (So geht das jede Nacht) Das hätt ich nie, nie, nie von dir gedacht  Ich schenk dir Blumen und fahr dich ins Büro Führ deine Mutter jeden Sonntag i...","On Sunday with Jimmy, on Monday with Jack On Tuesday you go off with Johnny  That's how it is every night (That's how it is every night) That's how it is every night (That's how it is every night) I've never, never thought that of you  I give you flowers and drive you to the office Take your mother ...",185,F major,,,2,,11,"thats, every, night"
1956,France,Dany Dauberson,Il est là,French,French,"Je ne peux changer ma vie, il est là Aussitôt que je le fuis, il est là J'ai beau faire, j'ai beau dire Je ne vois que son sourire Qui toujours semble me dire: ""Je suis là, je suis là""  Accroché dans tous mes rêves, il est là Et me poursuivant sans trêve, il est là Il a le pouvoir du diable Qui règn...","I can't change my life, he's there As soon as I run away from him, he's there Whatever I do, whatever I say I only see his smile Which always seems to say to me: ""I'm there, I'm there""  Clung in all my dreams, he's there And forcing my attention unremittingly, he's there He has the power of a devil ...",151,G minor,,,2,,12,"hes, whatever, say"
