year,host,country,artist,song,all_languages,main_language,is_english_main_lang,lyrics_original,lyrics_english,stage_director,composers,lyricists,place,points,running_order,total_wins,won_last_year,top5_last_year,artist sexuality,bpm,tone,theme,emotion,top_3_words,points_jury_final,points_tele_final,place_sf,points_sf,place_contest,points_jury_sf,points_tele_sf,running_sf,sf_num,Albania Jury,Albania Televote,Armenia Jury,Armenia Televote,Australia Jury,Australia Televote,Austria Jury,Austria Televote,Azerbaijan Jury,Azerbaijan Televote,Belarus Jury,Belarus Televote,Belgium Jury,Belgium Televote,Bosnia & Herzegovina Jury,Bosnia & Herzegovina Televote,Bulgaria Jury,Bulgaria Televote,Croatia Jury,Croatia Televote,Cyprus Jury,Cyprus Televote,Czechia Jury,Czechia Televote,Denmark Jury,Denmark Televote,Estonia Jury,Estonia Televote,Finland Jury,Finland Televote,France Jury,France Televote,Georgia Jury,Georgia Televote,Germany Jury,Germany Televote,Greece Jury,Greece Televote,Hungary Jury,Hungary Televote,Iceland Jury,Iceland Televote,Ireland Jury,Ireland Televote,Israel Jury,Israel Televote,Italy Jury,Italy Televote,Latvia Jury,Latvia Televote,Lithuania Jury,Lithuania Televote,Malta Jury,Malta Televote,Moldova Jury,Moldova Televote,Montenegro Jury,Montenegro Televote,Netherlands Jury,Netherlands Televote,North MacedoniaN.Macedonia Jury,North MacedoniaN.Macedonia Televote,Norway Jury,Norway Televote,Poland Jury,Poland Televote,Portugal Jury,Portugal Televote,Romania Jury,Romania Televote,Russia Jury,Russia Televote,San Marino Jury,San Marino Televote,Serbia Jury,Serbia Televote,Slovenia Jury,Slovenia Televote,Spain Jury,Spain Televote,Sweden Jury,Sweden Televote,Switzerland Jury,Switzerland Televote,Ukraine Jury,Ukraine Televote,United Kingdom Jury,United Kingdom Televote
2004.0,Istanbul,Albania,Anjeza Shahini,The Image Of You,English,English,1,"How strange the feeling in your soul When love invades your very being Another me or so I'm told And life takes on another meaning  Day after day, I go through the motions Stumbling my way, life is a blur Slave of my love, of my emotions You're in my eyes, you're in my heart  One kiss, one heart in ...","How strange the feeling in your soul When love invades your very being Another me or so I'm told And life takes on another meaning  Day after day, I go through the motions Stumbling my way, life is a blur Slave of my love, of my emotions You're in my eyes, you're in my heart  One kiss, one heart in ...",,Edmond Zhulali,Xhuli Teilor,7.0,106.0,9.0,0,0,0,straight,130.0,C# major,love,"[{'label': 'surprise', 'score': 0.5471760034561157}]","love, another, life",106.0,,4.0,167.0,7.0,,,13.0,0.0,0.0,,,,,,5.0,,,,0.0,,1.0,,4.0,,,,6.0,,0.0,,,,4.0,,0.0,,3.0,,1.0,,,,5.0,,10.0,,,,4.0,,2.0,,0.0,,,,1.0,,0.0,,10.0,,,,,,1.0,,,,3.0,,0.0,,0.0,,1.0,,0.0,,,,,,4.0,,0.0,,7.0,,7.0,,0.0,,1.0,
2005.0,Kiev,Albania,Ledina Celo,Tomorrow I Go,English,English,1,"Please don't be sad, it's like you always dreamed I wear the white veil Oh mother, bless me please Don't you cry Tomorrow I go The last night falling  Do you recall How I would imagine a white wedding dress? And now finally my time is here I know that I will miss Your sweet words singing  Maybe I'll...","Please don't be sad, it's like you always dreamed I wear the white veil Oh mother, bless me please Don't you cry Tomorrow I go The last night falling  Do you recall How I would imagine a white wedding dress? And now finally my time is here I know that I will miss Your sweet words singing  Maybe I'll...",,Adrian Hila,Pandi Laço;Sidorela Risto,16.0,53.0,8.0,0,0,0,straight,110.0,G minor,sadness,"[{'label': 'sadness', 'score': 0.8895785212516785}]","please, dont, white",53.0,,,,16.0,,,,,0.0,,,,,,3.0,,,,0.0,,0.0,,5.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,,0.0,,1.0,,,,0.0,,10.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,0.0,,0.0,,0.0,,10.0,,0.0,,0.0,
2006.0,Athen,Albania,Luiz Ejlli,Zjarr E Ftohtë,Albanian,Albanian,0,"Humbem të harroj Mos m'i rëndo më ditët Gjithçka është e kot, s'e kuptoj Lodhem të harroj Me kohën vras kujtimet Ne në zjarr jemi te ftohtë  Duhet te ikësh, vritem Shoh dhe më verbon Jemi në zjarr e kërkojmë ftohtë E në rrëmbime jemi veten e frenoj I trembem zemrës time që të do  E ndihem zjarr e ft...","I'm lost trying to forget Do not burden my days Everything is in vain, I don't understand I tire of forgetting With the time I kill my memories In fire we're so cold  You've got to go, I kill myself I see you and you blind me We're in fire, and we search for cold And in passion we are stopping ourse...",,,,,,,0,0,0,straight,112.0,A minor,passion,"[{'label': 'anger', 'score': 0.7006539702415466}]","kill, fire, cold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007.0,Helsinki,Albania,Aida & Frederik Ndoci,Hear My Plea,Albanian,Albanian,0,"I say farewell, the final call I turn and walk away, I leave it all I find that life regains its glow But the journey's long, the going's slow  A million miles later I crave a love that's greater Take me home again, ah...  Kthema Zot Kthema mallin që më more Kur më nise larg, ah...  Kthema Zot Vetëm...","I say farewell, the final call  I turn and walk away, I leave it all  I find that life regains its glow  But the journey's long, the going's slow   A million miles later  I crave a love that's greater  Take me home again, ah...   Bring me God Bring me the nostalgia that you took from me When you sen...",,,,,,,0,0,0,straight,142.0,A minor,change,"[{'label': 'sadness', 'score': 0.7647408843040466}]","bring, say, farewell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008.0,Belgrade,Albania,Olta Boka,Zemrën E Lamë Peng,Albanian,Albanian,0,"Ora si zemër troket Ora e çmendur rend, akrepa nuk ka Kohën vodhe ti nga jeta ime Bora e zerit tënd mbi zemrën time ra Mbuloi strehën e fundit të dashurisë  Ha… ha… Dhe ndalen akrepat atje  Ditë pas ditë, ne Rrahje pas rrahje, më kot kerkuam Orë e përkryer Një zemër jo kurrë s'mund të jetë  Natë pas...","The clock ticks like a heart The clock runs crazy, it has no hands You stole the time from my life The coldness of your voice fell on my heart Covering the last shelter of love  Ha… ha… And the hands of time stop there  Day after day, we Beat after beat, we looked in vain For the perfect clock Which...",,Adrian Hila,Pandi Laço,17.0,55.0,3.0,0,0,0,straight,127.0,C minor,betrayal,"[{'label': 'sadness', 'score': 0.7564495801925659}]","clock, heart, hands",55.0,,9.0,67.0,17.0,,,6.0,2.0,0.0,,0.0,,,,,,1.0,,0.0,,0.0,,1.0,,0.0,,8.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,10.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,7.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,4.0,,0.0,,0.0,,8.0,,0.0,,0.0,
2009.0,Moscow,Albania,Kejsi Tola,Carry Me In Your Dreams,English,English,1,"My love for you grows with each passing day I'm by your side when you're away And when I miss you and long for your care I close my eyes and you're there  All that I ask is one moment in time No strings attached, no drawing lines You feel my thoughts even when you're not here I close my eyes Close m...","My love for you grows with each passing day I'm by your side when you're away And when I miss you and long for your care I close my eyes and you're there  All that I ask is one moment in time No strings attached, no drawing lines You feel my thoughts even when you're not here I close my eyes Close m...",Julian Bulku,Edmond Zhulali,June Muftaraj Taylor,17.0,48.0,19.0,0,0,0,straight,128.0,Eb minor,love,"[{'label': 'sadness', 'score': 0.9801100492477417}]","youre, close, eyes",48.0,,7.0,73.0,17.0,,,16.0,2.0,0.0,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,,0.0,,,,0.0,,1.0,,0.0,,0.0,,,,0.0,,7.0,,2.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,7.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,2.0,,0.0,,1.0,,6.0,,0.0,,0.0,
2010.0,Oslo,Albania,Juliana Pasha,It's All About You,English,English,1,"You are the one, you give me that something I need It's me, and I'm calling You are the one, making it easy to be In love with you I'm falling  We been down But don't you know we been down here And I feel it, even now Time that we make a deal and seal it  It's all about you, the things that I do The...","You are the one, you give me that something I need It's me, and I'm calling You are the one, making it easy to be In love with you I'm falling  We been down But don't you know we been down here And I feel it, even now Time that we make a deal and seal it  It's all about you, the things that I do The...",,Ardit Gjebrea,Ardit Gjebrea;Pirro Çako,16.0,62.0,15.0,0,0,0,straight,137.0,F minor,love,"[{'label': 'neutral', 'score': 0.4788985252380371}]","one, give, something",62.0,,6.0,76.0,16.0,,,12.0,1.0,0.0,,0.0,,,,,,0.0,,0.0,,3.0,,5.0,,0.0,,5.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,,10.0,,,,7.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,2.0,,0.0,,1.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,8.0,,0.0,,1.0,
2011.0,Düsseldorf,Albania,Aurela Gaçe,Feel The Passion,English,English,1,"Feel my heart, feel the words beat low I sing my song and the echo flows And wherever I go, I just want you to know You're the blood in my veins and the love in my soul  You are my wave rippling over sea You dry my tears and you make me grieve But wherever I go, I just want you to know My moment in ...","Feel my heart, feel the words beat low I sing my song and the echo flows And wherever I go, I just want you to know You're the blood in my veins and the love in my soul  You are my wave rippling over sea You dry my tears and you make me grieve But wherever I go, I just want you to know My moment in ...",,,,,,,0,0,0,straight,99.0,C# minor,love,"[{'label': 'sadness', 'score': 0.983235239982605}]","feel, wherever, just",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012.0,Baku,Albania,Rona Nishliu,Suus,Albanian,Albanian,0,"Në këtë botë, dashuria s'jeton më Koha më për ne s'ka kohë, jo Ho… jo oh oh, oh oh Jo oh oh oh…  jo oh oh oh… Koha më për ne s'ka kohë  Atëron aeroplani im Në pistë pa drita të shpirtit tënd Me bërryla ngjiten sot Ata që dje s'jetonin dot Por të djeshmet s'kanë rëndësi Nga detëra të trazuar u përpin...","In this world, love lives no more Time no longer has time for us, no Ho… no oh oh, oh oh No oh oh oh… no oh oh oh… Time no longer has time for us  My plane is landing On the unlit runway of your soul They elbow their way through today – Those who couldn't live yesterday But yesterdays have no import...",,Florent Boshnjaku,Rona Nishliu,5.0,146.0,3.0,0,0,0,straight,151.0,Bb minor,change,"[{'label': 'sadness', 'score': 0.5502674579620361}]","time, longer, oh…",146.0,,2.0,146.0,5.0,,,5.0,1.0,0.0,,,,,,8.0,,0.0,,0.0,,10.0,,6.0,,4.0,,5.0,,4.0,,,,5.0,,0.0,,6.0,,0.0,,3.0,,6.0,,10.0,,8.0,,0.0,,0.0,,0.0,,12.0,,1.0,,0.0,,1.0,,0.0,,10.0,,0.0,,,,0.0,,,,0.0,,1.0,,0.0,,,,1.0,,3.0,,0.0,,1.0,,12.0,,0.0,,0.0,
2013.0,Malmö,Albania,Adrian Lulgjuraj & Bledar Sejko,Identitet,Albanian,Albanian,0,"Hey, hey Hey, hey Hey, hey Hey, hey  Kam ardhur nga larg Nën pluhurin e kohës gjeta re edhe mallkim U gjenda unë shumë pranë e preka veç flakë e zjarr Unë fola veç në heshtje desha pak jetë, lavdi Dhe kur ndava ëndrrën gjeta  Një rreze dritë, pak frymë si ti Një rreze dritë, pak frymë si ti  I ardhu...","Hey, hey Hey, hey Hey, hey Hey, hey  I came from far away In the dust of time, I found the good and the bad I've been so close that I touched the flames of fire I talked in silence, but wanted some glory in life And when I shared my dream, I found  A ray of light, a little breath like you A ray of l...",,,,,,,0,0,1,straight,105.0,E major,hope,"[{'label': 'joy', 'score': 0.8746980428695679}]","hey, found, ray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
